繁體	简体	拼音	備注
很	很	hen3	
痕	痕	ghen1	
衡	衡	ghen1	
恨	恨	ghen5	
杏	杏	ghen5	
捧	捧	phong3	
朋	朋	bong2	
棚	棚	bong2	
馮	冯	bong2	
彭	彭	bong2	
膨	膨	bong2	〜脹
篷	篷	bong2	
蓬	蓬	bong2	
逢	逢	bong2	
縫	缝	bong2	〜衣服
鳳	凤	bong6	
奉	奉	bong6	
俸	俸	bong6	
縫	缝	bong6	一條～
萌	萌	mong2	
蒙	蒙	mong2	
猛	猛	mong3	
懵	懵	mong3	〜懂
蠓	蠓	mong3	〜蟲
孟	孟	mong6	
夢	梦	mong6	
東	东	tong1	
冬	冬	tong1	
董	董	tong3	
懂	懂	tong3	
凍	冻	tong5	
棟	栋	tong5	
通	通	thong1	
統	统	thong3	
桶	桶	thong3	
捅	捅	thong3	〜破了
痛	痛	thong5	
童	童	dong2	
瞳	瞳	dong2	
同	同	dong2	
桐	桐	dong2	
銅	铜	dong2	
筒	筒	dong2	
洞	洞	dong6	
動	动	dong6	
農	农	nong2	
濃	浓	nong2	
膿	脓	nong2	
聾	聋	long1	
龍	龙	long2	
籠	笼	long2	
隆	隆	long2	
攏	拢	long3	
壠	垅	long3	
壟	垄	long3	
弄	弄	long6	
鍾	钟	tsong1	
鐘	钟	tsong1	
中	中	tsong1	當〜
忠	忠	tsong1	
盅	盅	tsong1	
終	终	tsong1	
宗	宗	tsong1	
鬃	鬃	tsong1	豬～，馬〜
棕	棕	tsong1	
綜	综	tsong1	織布機上的〜
總	总	tsong3	
冢	冢	tsong3	
腫	肿	tsong3	
種	种	tsong3	～類
中	中	tsong5	射〜
種	种	tsong5	〜樹
衆	众	tsong5	
眾	众	tsong5	
縱	纵	tsong5	放〜；〜橫
糉	粽	tsong5	
粽	粽	tsong5	
蹤	踪	tsong5	〜跡
充	充	tshong1	
衝	冲	tshong1	
沖	冲	tshong1	
聰	聪	tshong1	
匆	匆	tshong1	
蔥	葱	tshong1	
舂	舂	tshong1	〜米
囪	囱	tshong1	煙〜
樁	桩	tshong1	
寵	宠	tshong3	
銃	铳	tshong5	放〜
鬆	松	song1	
嵩	嵩	song1	
慫	怂	song3	～恿
送	送	song5	
宋	宋	song5	
蟲	虫	zong1	
崇	崇	zong1	
叢	丛	zong1	
從	从	zong1	～容；跟～
重	重	zong1	〜複
仲	仲	zong5	
誦	诵	zong5	
頌	颂	zong5	
訟	讼	zong5	
重	重	zong5	輕～
公	公	kong1	
蚣	蚣	kong1	蜈～
工	工	kong1	
功	功	kong1	
攻	攻	kong1	～擊
弓	弓	kong1	
躬	躬	kong1	
宮	宫	kong1	
恭	恭	kong1	
汞	汞	kong3	
鞏	巩	kong3	〜固
拱	拱	kong3	〜手
貢	贡	kong5	
共	共	kong5	
供	供	kong5	〜養；上〜；〜給；〜不起
空	空	khong1	〜虛
恐	恐	khong3	
孔	孔	khong3	
空	空	khong5	〜缺
控	控	khong5	
轟	轰	hong1	
風	风	hong1	
瘋	疯	hong1	
楓	枫	hong1	
封	封	hong1	
蜂	蜂	hong1	
鋒	锋	hong1	
峯	峰	hong1	
峰	峰	hong1	
哄	哄	hong1	～出去
烘	烘	hong1	〜幹
豐	丰	hong1	
丰	丰	hong1	
哄	哄	hong3	〜騙
諷	讽	hong5	
弘	弘	ghong2	
宏	宏	ghong2	
洪	洪	ghong2	
紅	红	ghong2	
虹	虹	ghong2	
鴻	鸿	ghong2	
翁	翁	ong1	
甕	瓮	ong5	
姆	姆	m1	〜媽
嗯	嗯	ng1	
臂	臂	pi1	
壁	壁	pi1	
璧	璧	pi1	〜玉
筆	笔	pi1	
必	必	pi1	
畢	毕	pi1	
彼	彼	pi3	
比	比	pi3	～較
秕	秕	pi3	～穀
幣	币	pi5	
蔽	蔽	pi5	
閉	闭	pi5	
敝	敝	pi5	
弊	弊	pi5	
祕	秘	pi5	
秘	秘	pi5	
泌	泌	pi5	
斃	毙	pi5	
痹	痹	pi5	麻〜
箅	箅	pi5	〜子
批	批	phi1	
披	披	phi1	
弼	弼	phi1	
闢	辟	phi1	
辟	辟	phi1	
僻	僻	phi1	
劈	劈	phi1	
匹	匹	phi1	布～；馬〜
鄙	鄙	phi3	
屁	屁	phi5	
庇	庇	phi5	
譬	譬	phi5	～喻
俾	俾	bi1	
脾	脾	bi1	
婢	婢	bi1	
皮	皮	bi1	
疲	疲	bi1	
枇	枇	bi1	〜杷
琵	琵	bi1	〜琶
鼻	鼻	bi1	
惟	惟	bi1	
維	维	bi1	
微	微	bi1	
唯	唯	bi1	
肥	肥	bi1	
避	避	bi6	
未	未	bi6	
味	味	bi6	
備	备	bi6	
蓖	蓖	bi6	
被	被	bi6	～子；〜邊
迷	迷	mi2	
彌	弥	mi2	
眉	眉	mi2	
楣	楣	mi2	
媚	媚	mi2	
蜜	蜜	mi2	
密	密	mi2	
米	米	mi3	
覓	觅	mi6	
迷	迷	mi6	
低	低	ti1	
嫡	嫡	ti1	
敵	敌	ti1	
的	的	ti1	目～
底	底	ti3	
抵	抵	ti3	
帝	帝	ti5	
滴	滴	ti5	
梯	梯	thi1	
踢	踢	thi1	
體	体	thi3	
替	替	thi5	
剔	剔	thi5	
剃	剃	thi5	
涕	涕	thi5	鼻〜
屜	屉	thi5	抽〜
堤	堤	di1	
題	题	di1	
啼	啼	di1	
蹄	蹄	di1	
提	提	di1	
糴	籴	di1	
笛	笛	di1	
狄	狄	di1	
第	第	di6	
弟	弟	di6	
遞	递	di6	
隸	隶	di6	
地	地	di6	
尼	尼	ni1	
泥	泥	ni1	
倪	倪	ni1	
膩	腻	ni1	
宜	宜	ni1	
誼	谊	ni1	
疑	疑	ni1	
凝	凝	ni1	
匿	匿	ni1	
沂	沂	ni1	〜河
逆	逆	ni1	順〜風
溺	溺	ni1	〜死
擬	拟	ni3	
你	你	ni3	
犁	犁	li1	
黎	黎	li1	
梨	梨	li1	
離	离	li1	〜別；〜開半寸
籬	篱	li1	
璃	璃	li1	
釐	厘	li1	
立	立	li1	
粒	粒	li1	
笠	笠	li1	
栗	栗	li1	
慄	栗	li1	
力	力	li1	
歷	历	li1	〜史
曆	历	li1	日～
禮	礼	li3	
履	履	li3	
李	李	li3	
裏	里	li3	
鯉	鲤	li3	
理	理	li3	
狸	狸	li3	
麗	丽	li5	
厲	厉	li5	
勵	励	li5	
例	例	li5	
利	利	li5	
痢	痢	li5	
吏	吏	li5	
荔	荔	li5	〜枝
吉	吉	ci1	
髻	髻	ci1	
雞	鸡	ci1	
鷄	鸡	ci1	
鶏	鸡	ci1	
鳮	鸡	ci1	
臍	脐	ci1	
濟	济	ci1	
薺	荠	ci1	
知	知	ci1	
蜘	蜘	ci1	～蛛
肌	肌	ci1	
機	机	ci1	
譏	讥	ci1	
飢	饥	ci1	
饑	饥	ci1	
稽	稽	ci1	
基	基	ci1	
急	急	ci1	
汁	汁	ci1	
蟄	蛰	ci1	驚〜
執	执	ci1	
級	级	ci1	
吸	吸	ci1	
給	给	ci1	〜你
輯	辑	ci1	編〜
質	质	ci1	
乞	乞	ci1	
訖	讫	ci1	
即	即	ci1	
鯽	鲫	ci1	
隻	只	ci1	
織	织	ci1	
職	职	ci1	
積	积	ci1	
戟	戟	ci1	
脊	脊	ci1	
迹	迹	ci1	
跡	迹	ci1	
蹟	迹	ci1	
績	绩	ci1	
擲	掷	ci1	
擊	击	ci1	
激	激	ci1	
擠	挤	ci3	
己	己	ci3	
幾	几	ci3	〜個；〜乎
几	几	ci3	茶〜
際	际	ci5	
計	计	ci5	
記	记	ci5	
祭	祭	ci5	
繼	继	ci5	
寄	寄	ci5	
致	致	ci5	
智	智	ci5	
既	既	ci5	
置	置	ci5	
季	季	ci5	
劑	剂	ci5	一〜藥
制	制	ci5	〜度；～造
紀	纪	ci5	〜律；年～；世～
奚	奚	chi1	
溪	溪	chi1	
癡	痴	chi1	
欺	欺	chi1	
膝	膝	chi1	
漆	漆	chi1	
秩	秩	chi1	
七	七	chi1	
飭	饬	chi1	
斥	斥	chi1	
赤	赤	chi1	
戚	戚	chi1	
吃	吃	chi1	
喫	吃	chi1	
尺	尺	chi1	
妻	妻	chi1	
棲	栖	chi1	
眵	眵	chi1	眼～
嗤	嗤	chi1	～笑
砌	砌	chi5	
氣	气	chi5	
汽	汽	chi5	
器	器	chi5	
契	契	chi5	〜約
西	西	shi1	
犧	牺	shi1	
兮	兮	shi1	
犀	犀	shi1	
攜	携	shi1	
熙	熙	shi1	
希	希	shi1	
稀	稀	shi1	
泣	泣	shi1	
習	习	shi1	
溼	湿	shi1	
濕	湿	shi1	
襲	袭	shi1	
室	室	shi1	
失	失	shi1	
悉	悉	shi1	
實	实	shi1	
恤	恤	shi1	
息	息	shi1	
熄	熄	shi1	
媳	媳	shi1	
惜	惜	shi1	
識	识	shi1	
飾	饰	shi1	
食	食	shi1	
昔	昔	shi1	
蝕	蚀	shi1	
式	式	shi1	
釋	释	shi1	
析	析	shi1	
錫	锡	shi1	
夕	夕	shi1	
適	适	shi1	
啓	启	shi3	
啟	启	shi3	
唘	启	shi3	
启	启	shi3	
洗	洗	shi3	
徙	徙	shi3	
璽	玺	shi3	
杞	杞	shi3	
起	起	shi3	
豈	岂	shi3	
喜	喜	shi3	
嬉	嬉	shi3	
蟢	蟢	shi3	〜子
世	世	shi5	
勢	势	shi5	
細	细	shi5	
戲	戏	shi5	
棄	弃	shi5	
什	什	shi5	〜物
齊	齐	zhi1	
騎	骑	zhi1	
遲	迟	zhi1	
奇	奇	zhi1	
岐	岐	zhi1	
池	池	zhi1	
馳	驰	zhi1	
鰭	鳍	zhi1	
持	持	zhi1	
祈	祈	zhi1	
其	其	zhi1	
棋	棋	zhi1	
棊	棋	zhi1	
碁	棋	zhi1	
期	期	zhi1	時〜
旗	旗	zhi1	
十	十	zhi1	
集	集	zhi1	
及	及	zhi1	
拾	拾	zhi1	〜起來
侄	侄	zhi1	
日	日	zhi1	
疾	疾	zhi1	
直	直	zhi1	
值	值	zhi1	
植	植	zhi1	
殖	殖	zhi1	
席	席	zhi1	
籍	籍	zhi1	
藉	藉	zhi1	
極	极	zhi1	
石	石	zhi1	
寂	寂	zhi1	
滯	滞	zhi5	
逝	逝	zhi5	
誓	誓	zhi5	
企	企	zhi5	
妓	妓	zhi5	
技	技	zhi5	
徛	徛	zhi5	立
治	治	zhi5	
忌	忌	zhi5	
屐	屐	zhi5	木〜
稚	稚	zhi5	幼～
雉	雉	zhi5	～雞
衣	衣	yi1	
依	依	yi1	
益	益	yi1	
縊	缢	yi1	
醫	医	yi1	
伊	伊	yi1	
譯	译	yi1	
一	一	yi1	
抑	抑	yi1	
亦	亦	yi1	
揖	揖	yi1	作〜
移	移	yi2	
蟻	蚁	yi2	
儀	仪	yi2	
夷	夷	yi2	
姨	姨	yi2	
遺	遗	yi2	
逸	逸	yi2	
飴	饴	yi2	高梁〜
已	已	yi3	
以	以	yi3	
矣	矣	yi3	
倚	倚	yi3	
椅	椅	yi3	
瞖	瞖	yi6	
藝	艺	yi6	
刈	刈	yi6	
冀	冀	yi6	
翼	翼	yi6	
義	义	yi6	
議	议	yi6	
意	意	yi6	
毅	毅	yi6	
異	异	yi6	
憶	忆	yi6	
億	亿	yi6	
易	易	yi6	交〜；難〜
肄	肄	yi6	〜業
逼	逼	pie1	
憋	憋	pie1	
鱉	鳖	pie1	
撇	撇	phie1	～開；～按
別	别	bie2	區～；離〜
别	别	bie2	區～；離〜
滅	灭	mie2	
蔑	蔑	mie2	竹～
爹	爹	tie1	
跌	跌	tie1	
鐵	铁	thie1	
貼	贴	thie1	
帖	帖	thie1	碑〜；請〜
疊	叠	die2	
碟	碟	die2	
牒	牒	die2	
蝶	蝶	die2	
諜	谍	die2	
業	业	nie1	
孽	孽	nie1	
捏	捏	nie1	
聶	聂	nie1	姓
鑷	镊	nie1	〜子
躡	蹑	nie1	〜步
獵	猎	lie1	
劣	劣	lie1	
列	列	lie1	
烈	烈	lie1	
裂	裂	lie1	
劫	劫	cie1	
接	接	cie1	
哲	哲	cie1	
揭	揭	cie1	
潔	洁	cie1	
結	结	cie1	
節	节	cie1	
炙	炙	cie1	
遮	遮	cie1	
蔗	蔗	cie1	
摺	折	cie1	～疊
褶	褶	cie1	～子，皺紋
螫	螫	cie1	蠍子～人
折	折	cie1	～斷
姐	姐	cie3	
者	者	cie3	
借	借	cie5	
妾	妾	chie1	
轍	辙	chie1	
撤	撤	chie1	
切	切	chie1	〜開
徹	彻	chie1	
車	车	chie1	馬〜
怯	怯	chie1	畏～
且	且	chie3	
扯	扯	chie3	
笡	笡	chie5	
斜	斜	chie5	
些	些	shie1	
奢	奢	shie1	
佘	佘	shie1	姓
賒	赊	shie1	
脅	胁	shie1	
協	协	shie1	
涉	涉	shie1	
攝	摄	shie1	
設	设	shie1	
泄	泄	shie1	～漏
蠍	蝎	shie1	
曳	曳	shie1	拖
歇	歇	shie1	
楔	楔	shie1	～子
屑	屑	shie1	木〜；不～
寫	写	shie3	
惹	惹	shie3	
舍	舍	shie3	～不得
瀉	泻	shie5	
卸	卸	shie5	
赦	赦	shie5	
舍	舍	shie5	宿〜
斜	斜	zhie1	
邪	邪	zhie1	
蛇	蛇	zhie1	
捷	捷	zhie1	
熱	热	zhie1	
舌	舌	zhie1	
傑	杰	zhie1	
截	截	zhie1	
謝	谢	zhie5	
射	射	zhie5	
麝	麝	zhie5	〜香
社	社	zhie5	
頁	页	ye1	
乙	乙	ye1	
腋	腋	ye1	
液	液	ye1	
耶	耶	ye1	
噎	噎	ye1	〜住了
爺	爷	ye2	
葉	叶	ye2	
野	野	ye3	
也	也	ye3	～是；者〜
夜	夜	ye5	
加	加	cia1	
嘉	嘉	cia1	
茄	茄	cia1	～子
痂	痂	cia1	
家	家	cia1	
佳	佳	cia1	
夾	夹	cia1	
甲	甲	cia1	
胛	胛	cia1	肩～
匣	匣	cia1	箱～
賈	贾	cia3	姓
假	假	cia3	真～；放〜
稼	稼	cia5	
嫁	嫁	cia5	
價	价	cia5	
架	架	cia5	
駕	驾	cia5	
洽	洽	chia1	
峽	峡	shia1	
瞎	瞎	shia1	
轄	辖	shia1	管～
蝦	虾	shia1	魚～
廈	厦	shia5	大～
狹	狭	zhia1	
暇	暇	zhia1	
遐	遐	zhia1	
瑕	瑕	zhia1	
霞	霞	zhia1	
蛤	蛤	zhia1	～蟆
夏	夏	zhia6	姓；春〜
廈	厦	zhia6	〜門
下	下	zhia6	～降；底～
壓	压	ya1	
押	押	ya1	
鴨	鸭	ya1	
鴉	鸦	ya1	
丫	丫	ya1	～頭；～杈
衙	衙	ya2	
牙	牙	ya2	
芽	芽	ya2	
雅	雅	ya3	
啞	哑	ya3	
亞	亚	ya5	
略	略	lio1	
虐	虐	lio1	
瘧	疟	lio1	～疾
掠	掠	lio3	
爵	爵	cio1	
角	角	cio1	
腳	脚	cio1	
酌	酌	cio1	
覺	觉	cio1	知～
着	着	cio1	～衣；睡～；附〜
確	确	chio1	
卻	却	chio1	
却	却	chio1	
鵲	鹊	chio1	喜〜
雀	雀	chio1	麻〜
削	削	shio1	
芍	芍	shio1	〜藥花
學	学	zhio2	
嚼	嚼	zhio2	
弱	弱	zhio2	
若	若	zhio2	
勺	勺	zhio2	～子
躍	跃	yo1	
約	约	yo1	
嶽	岳	yo2	
藥	药	yo2	
鑰	钥	yo2	～匙
樂	乐	yo2	音〜
埃	埃	yai2	塵〜
捱	捱	yai2	〜打；～罵
崖	崖	yai2	山〜
涯	涯	yai2	天〜
標	标	piao1	
彪	彪	piao1	
膘	膘	piao1	肥～
表	表	piao3	～格；鍾～
漂	漂	phiao1	
飄	飘	phiao1	
鰾	鳔	phiao1	魚〜
票	票	phiao5	
漂	漂	phiao5	〜亮
瓢	瓢	biao2	
嫖	嫖	biao2	〜賭
苗	苗	miao2	
描	描	miao2	
貓	猫	miao2	～腰
渺	渺	miao3	
秒	秒	miao3	
藐	藐	miao3	
杳	杳	miao3	〜無音信
妙	妙	miao6	
廟	庙	miao6	
刁	刁	tiao1	
雕	雕	tiao1	
貂	貂	tiao1	
吊	吊	tiao5	
掉	掉	tiao5	
釣	钓	tiao5	
挑	挑	thiao1	
跳	跳	thiao5	
糶	粜	thiao5	
條	条	diao2	
調	调	diao2	～和
調	调	diao6	～動；音～
鳥	鸟	niao3	
尿	尿	niao6	
療	疗	liao2	
燎	燎	liao2	
聊	聊	liao2	
寥	寥	liao2	
遼	辽	liao2	
撩	撩	liao2	〜撥
了	了	liao3	～結
瞭	瞭	liao3	〜望
料	料	liao3	
廖	廖	liao3	姓
椒	椒	ciao1	
交	交	ciao1	
郊	郊	ciao1	
膠	胶	ciao1	
胶	胶	ciao1	
焦	焦	ciao1	
蕉	蕉	ciao1	芭〜
澆	浇	ciao1	
驕	骄	ciao1	
嬌	娇	ciao1	
昭	昭	ciao1	
招	招	ciao1	
朝	朝	ciao1	今～
剿	剿	ciao3	
攪	搅	ciao3	
絞	绞	ciao3	
鉸	铰	ciao3	
較	较	ciao3	
狡	狡	ciao3	
餃	饺	ciao3	～子
矯	矫	ciao3	～詐
繳	缴	ciao3	上〜
照	照	ciao5	
詔	诏	ciao5	
叫	叫	ciao5	
校	校	ciao5	〜對
教	教	ciao5	～書；育
鍬	锹	chiao1	
繰	缲	chiao1	〜邊
悄	悄	chiao1	靜〜〜
巧	巧	chiao3	
俏	俏	chiao5	
竅	窍	chiao5	
消	消	shiao1	
宵	宵	shiao1	
霄	霄	shiao1	
銷	销	shiao1	
硝	硝	shiao1	
燒	烧	shiao1	
囂	嚣	shiao1	
枵	枵	shiao1	
蕭	萧	shiao1	
簫	箫	shiao1	
幺	幺	shiao1	〜二三
么	幺	shiao1	〜二三
吆	吆	shiao1	〜喝
曉	晓	shiao3	
擾	扰	shiao3	
小	小	shiao3	
少	少	shiao3	多〜
繞	绕	shiao3	圍～；～線
酵	酵	shiao5	
紹	绍	shiao5	
邵	邵	shiao5	
笑	笑	shiao5	
少	少	shiao5	～年
餚	肴	zhiao2	
淆	淆	zhiao2	
樵	樵	zhiao2	
瞧	瞧	zhiao2	
饒	饶	zhiao2	
僥	侥	zhiao2	〜幸
喬	乔	zhiao2	
蕎	荞	zhiao2	
橋	桥	zhiao2	
僑	侨	zhiao2	
潮	潮	zhiao2	
朝	朝	zhiao2	〜代
韶	韶	zhiao2	～關
轎	轿	zhiao6	
趙	赵	zhiao6	
兆	兆	zhiao6	
召	召	zhiao6	
效	效	zhiao6	
校	校	zhiao6	上～；學～
妖	妖	yao1	
邀	邀	yao1	
要	要	yao1	～求
腰	腰	yao1	
姚	姚	yao2	
窯	窑	yao2	
謠	谣	yao2	
搖	摇	yao2	
堯	尧	yao2	
橈	桡	yao2	
舀	舀	yao3	～水
耀	耀	yao5	
要	要	yao5	想～
鷂	鹞	yao5	～鷹
丟	丢	tiu1	
牛	牛	niu2	
扭	扭	niu3	
紐	纽	niu3	
謬	谬	niu6	
餾	馏	liu1	
溜	溜	liu1	
劉	刘	liu2	
流	流	liu2	
琉	琉	liu2	〜璃
硫	硫	liu2	〜黃
留	留	liu2	
榴	榴	liu2	石〜
柳	柳	liu3	
周	周	ciu1	
週	周	ciu1	
舟	舟	ciu1	
州	州	ciu1	
洲	洲	ciu1	
九	九	ciu3	
酒	酒	ciu3	
肘	肘	ciu3	
久	久	ciu3	
鳩	鸠	ciu3	
糾	纠	ciu3	～纏；～正
韭	韭	ciu3	
帚	帚	ciu3	
晝	昼	ciu5	
咎	咎	ciu5	
咒	咒	ciu5	
救	救	ciu5	
究	究	ciu5	
灸	灸	ciu5	針～
抽	抽	chiu1	
丘	丘	chiu1	
秋	秋	chiu1	～千；～天
揪	揪	chiu1	
醜	丑	chiu3	
丑	丑	chiu3	
臭	臭	chiu5	香～
羞	羞	shiu1	
修	修	shiu1	
休	休	shiu1	
朽	朽	shiu3	
秀	秀	shiu3	
繡	绣	shiu3	
鏽	锈	shiu3	鐵～
嗅	嗅	shiu3	～覺
稠	稠	zhiu2	
綢	绸	zhiu2	
囚	囚	zhiu2	
泅	泅	zhiu2	游水
籌	筹	zhiu2	
揉	揉	zhiu2	
柔	柔	zhiu2	
求	求	zhiu2	
球	球	zhiu2	
酬	酬	zhiu2	
仇	仇	zhiu2	
就	就	zhiu6	
袖	袖	zhiu6	
宙	宙	zhiu6	
柩	柩	zhiu6	
紂	纣	zhiu6	
舊	旧	zhiu6	
受	受	zhiu6	
授	授	zhiu6	
臼	臼	zhiu6	
舅	舅	zhiu6	
售	售	zhiu6	
壽	寿	zhiu6	
優	优	you1	
憂	忧	you1	
幽	幽	you1	
悠	悠	you1	
由	由	you2	
油	油	you2	
郵	邮	you2	
鼬	鼬	you2	黃～
遊	游	you2	
游	游	you2	
尤	尤	you2	
猶	犹	you2	
有	有	you3	
友	友	you3	
酉	酉	you3	
誘	诱	you3	
莠	莠	you3	
幼	幼	you5	
右	右	you6	
佑	佑	you6	
又	又	you6	
柚	柚	you6	
釉	釉	you6	
鞭	鞭	pian1	
邊	边	pian1	
貶	贬	pian3	
扁	扁	pian3	
蝙	蝙	pian3	
匾	匾	pian3	
變	变	pian5	
偏	偏	phian1	
編	编	phian1	
篇	篇	phian1	
片	片	phian5	
騙	骗	phian5	欺～
遍	遍	phian5	〜地；一～
汴	汴	bian6	
辯	辩	bian6	
辨	辨	bian6	
辮	辫	bian6	
便	便	bian6	方～；～宜
眠	眠	mian2	
棉	棉	mian2	
綿	绵	mian2	
緬	缅	mian3	
免	免	mian3	
勉	勉	mian3	
面	面	mian5	～孔
麪	面	mian5	～粉
麫	面	mian5	～粉
麵	面	mian5	～粉
麺	面	mian5	～粉
顛	颠	tian1	
點	点	tian3	
典	典	tian3	
店	店	tian5	
掂	掂	tian5	
天	天	thian1	
添	添	thian1	
添	添	thian3	
掭	掭	thian5	～筆
甜	甜	dian1	
田	田	dian1	
填	填	dian1	
佃	佃	dian6	
電	电	dian6	
奠	奠	dian6	
殿	殿	dian6	
簟	簟	dian6	
墊	垫	dian6	〜錢
嚴	严	nian2	
年	年	nian2	
碾	碾	nian3	
研	研	nian3	
輦	辇	nian3	
攆	撵	nian3	
儼	俨	nian3	〜然
捻	捻	nian3	以指〜碎
硯	砚	nian6	
念	念	nian6	
諺	谚	nian6	
驗	验	nian6	
殮	殓	nian6	
斂	敛	nian6	
釅	酽	nian6	〜茶
簾	帘	lian1	
聯	联	lian1	
連	连	lian1	
蓮	莲	lian1	
憐	怜	lian1	
廉	廉	lian1	
鐮	镰	lian1	
鮎	鲇	lian1	〜魚
臉	脸	lian3	
戀	恋	lian6	
煉	炼	lian6	
練	练	lian6	
楝	楝	lian6	〜樹
瞻	瞻	cian1	
尖	尖	cian1	
占	占	cian1	〜卜
沾	沾	cian1	
粘	粘	cian1	〜貼
拈	拈	cian1	〜起來
兼	兼	cian1	
搛	搛	cian1	～菜
檢	检	cian3	
簡	简	cian3	
襉	裥	cian3	
鐗	锏	cian3	車〜
柬	柬	cian3	
揀	拣	cian3	
剪	剪	cian3	
展	展	cian3	
趼	趼	cian3	
繭	茧	cian3	
筧	笕	cian3	
劍	剑	cian5	
建	建	cian5	
腱	腱	cian5	
健	健	cian5	
鍵	键	cian5	
犍	犍	cian5	〜子
佔	占	cian5	〜領
戰	战	cian5	
薦	荐	cian5	
顫	颤	cian5	
箭	箭	cian5	
見	见	cian5	
餞	饯	cian5	〜行
濺	溅	cian5	〜一身水
籤	签	chian1	
箋	笺	chian1	
千	千	chian1	
遷	迁	chian1	
殲	歼	chian1	～滅
謙	谦	chian1	
虔	虔	chian1	
牽	牵	chian1	
淺	浅	chian3	
遣	遣	chian3	
欠	欠	chian5	
歉	歉	chian5	
仙	仙	shian1	
先	先	shian1	
掀	掀	shian1	
冉	冉	shian3	
染	染	shian3	
險	险	shian3	
閃	闪	shian3	
顯	显	shian3	
陝	陕	shian3	〜西
扇	扇	shian5	
羨	羡	shian5	
線	线	shian5	
獻	献	shian5	
現	现	shian5	
憲	宪	shian5	
鉗	钳	zhian1	
潛	潜	zhian1	
嫌	嫌	zhian1	
纏	缠	zhian1	
然	然	zhian1	
燃	燃	zhian1	
錢	钱	zhian1	
賢	贤	zhian1	
前	前	zhian1	
蟬	蝉	zhian1	
禪	禅	zhian1	〜宗；〜讓
乾	乾	zhian1	
儉	俭	zhian6	
踐	践	zhian6	
賤	贱	zhian6	
膳	膳	zhian6	
件	件	zhian6	
善	善	zhian6	
煙	烟	yan1	
醃	腌	yan1	
閹	阉	yan1	
焉	焉	yan1	心不在〜
蔫	蔫	yan1	
鹽	盐	yan2	
閻	阎	yan2	
炎	炎	yan2	
延	延	yan2	
筵	筵	yan2	
涎	涎	yan2	
言	言	yan2	
檐	檐	yan2	
蟾	蟾	yan2	〜酥
演	演	yan3	
魘	魇	yan3	
淹	淹	yan3	
掩	掩	yan3	
豔	艳	yan5	
焰	焰	yan5	
厭	厌	yan5	
展	展	yan5	
酒	酒	yan5	～宴
咽	咽	yan5	
堰	堰	yan5	
燕	燕	yan5	～子；～京；姓
娘	娘	niang2	
仰	仰	niang3	
兩	两	niang3	～個
釀	酿	niang6	
輛	辆	niang6	
粱	粱	liang2	
樑	梁	liang2	
涼	凉	liang2	
良	良	liang2	
糧	粮	liang2	
量	量	liang2	～長短
兩	两	liang3	幾〜幾錢
亮	亮	liang6	
諒	谅	liang6	
量	量	liang6	數～
張	张	ciang1	
樟	樟	ciang1	
章	章	ciang1	
薑	姜	ciang1	生〜
姜	姜	ciang1	姓
羌	羌	ciang1	
將	将	ciang1	〜來
漿	浆	ciang1	
疆	疆	ciang1	
僵	僵	ciang1	
繮	缰	ciang1	
礓	礓	ciang1	〜石
江	江	ciang1	
豇	豇	ciang1	〜豆
掌	掌	ciang3	
槳	桨	ciang3	
蔣	蒋	ciang3	
長	长	ciang3	生〜
漲	涨	ciang3	
障	障	ciang5	保〜
瘴	瘴	ciang5	〜氣
帳	帐	ciang5	
脹	胀	ciang5	
賬	账	ciang5	
獎	奖	ciang5	
醬	酱	ciang5	
將	将	ciang5	大〜
降	降	ciang5	下～
腔	腔	chiang1	
昌	昌	chiang1	
菖	菖	chiang1	～蒲
廠	厂	chiang3	
搶	抢	chiang3	
強	强	chiang3	勉～；倔～
强	强	chiang3	勉～；倔～
暢	畅	chiang5	
唱	唱	chiang5	
倡	倡	chiang5	提～
相	相	shiang1	～互
箱	箱	shiang1	
湘	湘	shiang1	
廂	厢	shiang1	
襄	襄	shiang1	
嚷	嚷	shiang1	
鄉	乡	shiang1	
香	香	shiang1	
傷	伤	shiang1	
商	商	shiang1	
想	想	shiang3	
享	享	shiang3	
響	响	shiang3	
晌	晌	shiang3	～午
餉	饷	shiang3	
賞	赏	shiang3	
壤	壤	shiang3	土〜
向	向	shiang5	
相	相	shiang5	～貌
常	常	zhiang1	
裳	裳	zhiang1	衣〜
嘗	尝	zhiang1	
償	偿	zhiang1	
詳	详	zhiang1	
祥	祥	zhiang1	
牆	墙	zhiang1	
場	场	zhiang1	
腸	肠	zhiang1	
長	长	zhiang1	〜短
降	降	zhiang1	投～
丈	丈	zhiang6	
仗	仗	zhiang6	
杖	杖	zhiang6	
匠	匠	zhiang6	
象	象	zhiang6	
像	像	zhiang6	
橡	橡	zhiang6	〜樹
尚	尚	zhiang6	
上	上	zhiang6	〜山；～面
攘	攘	zhiang6	
鑲	镶	zhiang6	
瓤	瓤	zhiang6	瓜〜
央	央	yang1	
秧	秧	yang1	
殃	殃	yang1	
羊	羊	yang2	
洋	洋	yang2	
烊	烊	yang2	融化
楊	杨	yang2	
陽	阳	yang2	
揚	扬	yang2	
瘍	疡	yang2	潰〜
螢	萤	yang2	
養	养	yang3	
癢	痒	yang3	
樣	样	yang6	
彬	彬	pin1	
冰	冰	pin1	
兵	兵	pin1	
